Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,TII,TII Score
Russia,Pakistan,Export,  All Products,Export (US$ Thousand),1997,57331.914,TII,0.119686572
Russia,Qatar,Export,  All Products,Export (US$ Thousand),1997,21.848,TII,0.009215553
Russia,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1997,66196.878,TII,0.324092175
Russia,Turkiye,Export,  All Products,Export (US$ Thousand),1997,3246301.024,TII,2.915156071
Russia,United States,Export,  All Products,Export (US$ Thousand),1997,4198804.987,TII,0.326565109
Russia,Viet Nam,Export,  All Products,Export (US$ Thousand),1997,162847.109,TII,1.679391152
China, World,Import,  All Products,Import (US$ Thousand),1998,140236765.3,TII,1
China,Afghanistan,Import,  All Products,Import (US$ Thousand),1998,212.066,TII,2.043127754
China,Bangladesh,Import,  All Products,Import (US$ Thousand),1998,26468.929,TII,3.042660179
China,Belarus,Import,  All Products,Import (US$ Thousand),1998,10877.031,TII,0.024828348
China,Egypt,Import,  All Products,Import (US$ Thousand),1998,31692.943,TII,0.867605401
China,India,Import,  All Products,Import (US$ Thousand),1998,905707.562,TII,0.934546034
China,Iran,Import,  All Products,Import (US$ Thousand),1998,558318.811,TII,1.728600323
China,Iraq,Import,  All Products,Import (US$ Thousand),1998,59856.271,TII,2.236119792
China,Israel,Import,  All Products,Import (US$ Thousand),1998,171010.993,TII,0.404995622
China,Japan,Import,  All Products,Import (US$ Thousand),1998,28275037.57,TII,3.780650086
China,South Korea,Import,  All Products,Import (US$ Thousand),1998,15014309.15,TII,2.601580601
China,Myanmar,Import,  All Products,Import (US$ Thousand),1998,62045.047,TII,6.045176035
China,Pakistan,Import,  All Products,Import (US$ Thousand),1998,389032.803,TII,2.191185724
China,Qatar,Import,  All Products,Import (US$ Thousand),1998,45127.967,TII,0.15026465
China,Russia,Import,  All Products,Import (US$ Thousand),1998,3640993.754,TII,1.02979901
China,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1998,803585.091,TII,0.689592711
China,Turkiye,Import,  All Products,Import (US$ Thousand),1998,42772.949,TII,0.474996237
China,UAE,Import,  All Products,Import (US$ Thousand),1998,161630.477,TII,1.24605052
China,United States,Import,  All Products,Import (US$ Thousand),1998,16883462.01,TII,1.244800796
